"exp_name","subj","cond","sess","trial","cue_delay","targ_right","cue_valid","blink_latency","shutter_dur","trial_start","trial_end","cue_rt","corr_resp","rt","cue_pred","targ_soa","block_date","block_time","block_order","Cond","CondFull","CuePred","CuePredFull","CueValid","cue_valid_c","cue_pred_c","RT","ctoa_s","ctoa","ctoa_bin","ctoa_lowbound","ctoa_lowbound_s","ctoa0_s","ctoa3","ctoa3_bin0"
"eb1",1,"a",1,1,0.346,1,1,0.34,0.228861467763825,149.882477998734,153.02241396904,NA,1,0.85996413230896,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,859.96413230896,0.74,740,"(727,813]",726,0.086,0.099,"Medium CTOA",0.5
"eb1",1,"a",1,2,0.359,0,1,0.395,0.190381135692502,153.862324953079,158.202227115631,NA,1,0.899971008300781,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,899.971008300781,0.795,795,"(727,813]",726,0.086,0.154,"Medium CTOA",0.5
"eb1",1,"a",1,3,0.457,0,1,0.353,0.257723966910152,159.0422270298,163.172096014023,NA,1,0.889940977096558,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,889.940977096558,0.753,753,"(727,813]",726,0.086,0.112,"Medium CTOA",0.5
"eb1",1,"a",1,4,0.366,0,0,0.491,0.174391494344591,164.012077093124,166.262053012848,NA,1,0.529959917068481,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,529.959917068481,0.891,891,"(813,900]",813,0.173,0.25,"Long CTOA",1
"eb1",1,"a",1,5,0.418,1,1,0.255,0.213021026159588,167.102041006088,168.851878166199,NA,1,0.449991941452026,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,449.991941452026,0.655,655,"(640,727]",640,0,0.014,"Short CTOA",0
"eb1",1,"a",1,7,0.486,1,1,0.453,0.16863944479679,173.401817083359,175.741774082184,NA,1,0.550041913986206,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,550.041913986206,0.853,853,"(813,900]",813,0.173,0.212,"Long CTOA",1
"eb1",1,"a",1,8,0.349,0,1,0.251,0.224902406780372,176.581731081009,178.801682949066,NA,1,0.669994115829468,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,669.994115829468,0.651,651,"(640,727]",640,0,0.01,"Short CTOA",0
"eb1",1,"a",1,9,0.328,0,1,0.295,0.205795937217268,179.641685962677,181.631590127945,NA,1,0.529999971389771,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,529.999971389771,0.695,695,"(640,727]",640,0,0.054,"Short CTOA",0
"eb1",1,"a",1,10,0.464,1,1,0.331,0.1471966829767,182.47158408165,184.411546945572,NA,1,0.410013914108276,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,410.013914108276,0.731,731,"(727,813]",726,0.086,0.0900000000000001,"Medium CTOA",0.5
"eb1",1,"a",1,11,0.497,0,1,0.401,0.212987023375526,185.25154709816,189.991466999054,NA,1,0.449984073638916,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,449.984073638916,0.801,801,"(727,813]",726,0.086,0.16,"Medium CTOA",0.5
"eb1",1,"a",1,13,0.361,0,1,0.354,0.145099951820745,193.781239032745,195.741338968277,NA,1,0.369978904724121,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,369.978904724121,0.754,754,"(727,813]",726,0.086,0.113,"Medium CTOA",0.5
"eb1",1,"a",1,14,0.308,1,1,0.478,0.227725554884211,196.581254959106,198.641170978546,NA,1,0.389989137649536,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,389.989137649536,0.878,878,"(813,900]",813,0.173,0.237,"Long CTOA",1
"eb1",1,"a",1,15,0.311,1,0,0.319,0.192281703572409,199.481193065643,201.381176948547,NA,1,0.389983177185059,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,389.983177185059,0.719,719,"(640,727]",640,0,0.0780000000000001,"Short CTOA",0
"eb1",1,"a",1,16,0.444,0,0,0.286,0.221340552995057,202.221143007278,204.111132144928,NA,1,0.409945964813232,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,409.945964813232,0.686,686,"(640,727]",640,0,0.0449999999999999,"Short CTOA",0
"eb1",1,"a",1,17,0.396,1,1,0.343,0.176482674409123,204.951070070267,206.851027011871,NA,1,0.42997407913208,1,0,"2019-06-24",1651,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,429.97407913208,0.743,743,"(727,813]",726,0.086,0.102,"Medium CTOA",0.5
