"subj","cue_pred","block","trial","cond","exp_name","cue_delay","targ_right","cue_valid","targ_soa","shutter_dur","trial_start","trial_end","cue_rt","corr_resp","rt.x","block_date","block_time","block_order","Cond","CondFull","CuePred","CuePredFull","CueValid","cue_valid_c","cue_pred_c","RT","trial_sample_beg","trial_time_beg","trial_sample_end","trial_time_end","cue_sample","cue_time","blink_latency_sample","blink_latency_time","blink_window_sample","blink_window_time","targ_sample","targ_time","resp_sample","resp_time","shutter_sample_beg","shutter_time_beg","shutter_sample_end","shutter_time_end","cue_resp_sample","cue_resp_time","tot_trial_samples","tot_trial_time","samples_per_s","blank_sample_beg","blank_sample_end","tot_blank_samples","blank_time_beg","blank_time_end","tot_blank_time","rt.y","nonart","excl_reason"
1,1,1,1,"a","eb3",0.32,1,1,0.9,0.184692757573184,167.571921110153,169.831935167313,0.430027008056641,1,0.439949035644531,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,439.949035644531,5279387,167.57,5281647,169.83,5279698,167.88,5280588,168.77,5280588,168.77,5280588,168.77,5281039,169.22,5280318,168.5,5280128,168.31,5280128,168.31,2260,2.26000000000002,999.999999999991,5280134,5280316,184,0.747,0.929,0.182,1.65000000000001,0,NA
1,1,1,1,"v","eb3",0.443,0,1,0.9,0,163.687798023224,166.427649974823,0,1,0.489995956420898,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,489.995956420898,3910628,163.69,3913368,166.43,3911069,164.13,3911969,165.03,3911969,165.03,3911969,165.03,3912469,165.53,NA,NA,NA,NA,NA,NA,2740,2.74000000000001,999.999999999997,3911310,3911448,140,0.682,0.82,0.138,1.84,1,NA
1,1,1,10,"a","eb3",0.442,0,1,0.9,0.233739829039381,201.232124090195,203.23220705986,0.350007057189941,1,0.300005912780762,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,300.005912780762,5313047,201.23,5315047,203.23,5313488,201.67,5314378,202.56,5314378,202.56,5314378,202.56,5314689,202.87,5314078,202.26,5313838,202.02,5313838,202.02,2000,2,1000,5313844,5314076,234,0.797,1.029,0.232,1.64000000000001,0,NA
1,1,1,10,"v","eb3",0.341,0,0,0.9,0,193.365776062012,195.345725059509,0,1,0.369915008544922,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Invalid",-1,1,369.915008544922,3940308,193.37,3942288,195.35,3940648,193.71,3941549,194.61,3941549,194.61,3941549,194.61,3941929,194.99,NA,NA,NA,NA,NA,NA,1980,1.97999999999999,1000.00000000001,3940972,3941146,176,0.664,0.838,0.174,1.62,1,NA
1,1,1,11,"a","eb3",0.41,0,1,0.9,0.180573646498281,204.052210092545,207.522212028503,0.319999933242798,1,0.279993057250977,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,279.993057250977,5315867,204.05,5319337,207.52,5316268,204.45,5317158,205.34,5317158,205.34,5317158,205.34,5317449,205.63,5316778,204.96,5316588,204.77,5316588,204.77,3470,3.47,1000,5316594,5316776,184,0.727,0.909,0.182,1.57999999999998,0,NA
1,1,1,11,"v","eb3",0.31,1,0,0.9,0,196.185596942902,198.035537958145,0,1,0.289969921112061,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Invalid",-1,1,289.969921112061,3943128,196.19,3944978,198.04,3943439,196.5,3944339,197.4,3944339,197.4,3944339,197.4,3944639,197.7,NA,NA,NA,NA,NA,NA,1850,1.84999999999999,1000,3943702,3943896,196,0.574,0.768,0.194,1.50999999999999,1,NA
1,1,1,12,"a","eb3",0.352,1,1,0.9,0.250756566625591,208.362174034119,211.462266206741,0.290029048919678,1,0.320044040679932,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,320.044040679932,5320177,208.36,5323277,211.46,5320528,208.71,5321418,209.6,5321418,209.6,5321418,209.6,5321749,209.93,5321078,209.26,5320818,209,5320818,209,3100,3.09999999999999,1000,5320824,5321076,254,0.647,0.899,0.252,1.56999999999999,0,NA
1,1,1,12,"v","eb3",0.385,1,1,0.9,0,198.87543797493,200.885335922241,0,1,0.329982042312622,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,329.982042312622,3945818,198.88,3947828,200.89,3946199,199.26,3947099,200.16,3947099,200.16,3947099,200.16,3947439,200.5,NA,NA,NA,NA,NA,NA,2010,2.00999999999999,1000,3946436,3946626,192,0.618,0.808,0.19,1.62,1,NA
1,1,1,13,"a","eb3",0.494,1,1,0.9,0.205524056921844,212.302195072174,215.442310094833,0.290022134780884,1,0.320050001144409,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,320.050001144409,5324117,212.3,5327257,215.44,5324608,212.79,5325498,213.68,5325498,213.68,5325498,213.68,5325829,214.01,5325108,213.29,5324898,213.08,5324898,213.08,3140,3.13999999999999,1000,5324904,5325106,204,0.787,0.989,0.202,1.70999999999998,0,NA
1,1,1,13,"v","eb3",0.37,0,1,0.9,0,201.725299119949,203.635092973709,0,1,0.330091953277588,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,330.091953277588,3948668,201.73,3950578,203.64,3949039,202.1,3949938,203,3949938,203,3949938,203,3950279,203.34,NA,NA,NA,NA,NA,NA,1910,1.91,1000,3949274,3949446,174,0.606,0.778,0.172,1.61000000000001,1,NA
