"subj","cue_pred","block","trial","cond","exp_name","cue_delay","targ_right","scue_delay","cue_valid","targ_soa","shutter_dur","trial_start","trial_end","cue_rt","corr_resp","rt.x","block_date","block_time","block_order","Cond","CondFull","CuePred","CuePredFull","CueValid","cue_valid_c","cue_pred_c","RT","trial_sample_beg","trial_time_beg","trial_sample_end","trial_time_end","cue_sample","cue_time","scue_sample","scue_time","blink_latency_sample","blink_latency_time","blink_window_sample","blink_window_time","targ_sample","targ_time","resp_sample","resp_time","shutter_sample_beg","shutter_time_beg","shutter_sample_end","shutter_time_end","cue_resp_sample","cue_resp_time","tot_trial_samples","tot_trial_time","samples_per_s","sacc_num","sacc_R","sacc_bef_targ","xr_pre_cue_ave","xr_pre_eb_ave","xr_post_eb_ave","xr_pre_targ_ave","xr_post_targ_ave","xr_post_resp_ave","blank_sample_beg","blank_sample_end","tot_blank_samples","blank_time_beg","blank_time_end","tot_blank_time","blank_post_cue","blank_post_targ","rt.y","nonart","excl_reason"
0,1,1,1,"a","eb4",0.506,0,0.5,1,0.3,0.0582323832156267,56.1173150539398,60.1573951244354,0.399986028671265,1,0.420025825500488,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,420.025825500488,11169566,56.12,11173606,60.16,11170065,56.62,11170575,57.13,11170865,57.42,11170865,57.42,11170865,57.42,11171295,57.85,11170525,57.08,11170465,57.02,11170465,57.02,4040,4.04,1000,NA,NA,NA,0.0263655152051964,0.0656214605862562,0.0151356267540869,0.0267531453279618,0.0399475422442857,0.963116962307444,11170470,11170524,56,0.904,0.958,0.054,1,0,1.73,0,NA
0,1,1,1,"v","eb4",0.975,0,0.5,1,0.3,0,116.898798942566,119.63082909584,0,1,0.59994912147522,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,599.94912147522,17196900,116.9,17199632,119.63,17197867,117.86,17198377,118.37,17198667,118.66,17198667,118.66,17198667,118.66,17199277,119.27,NA,NA,NA,NA,NA,NA,2732,2.72999999999999,1000.7326007326,NA,NA,NA,0.14162976085031,-0.042974772824197,0.389958721799733,0.0168403683277628,0.421679807557343,0.770910376831321,17198368,17198468,102,1.468,1.568,0.1,1,0,2.36999999999999,1,NA
0,1,1,10,"a","eb4",0.576,0,0.4,1,0.3,0.0603187225485853,84.9745049476624,86.6071391105652,0.380144119262695,1,0.250030040740967,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,250.030040740967,11198421,84.97,11200053,86.61,11198985,85.54,11199397,85.95,11199685,86.24,11199685,86.24,11199685,86.24,11199946,86.5,11199427,85.98,11199366,85.92,11199365,85.92,1632,1.64,995.121951219512,NA,NA,NA,-0.105403011514615,-0.18365394985052,0.219213899461907,-0.0746437947500835,0.2871386068906,0.264440619237818,11199370,11199426,58,0.949,1.005,0.056,1,0,1.53,0,NA
0,1,1,10,"v","eb4",0.764,1,0.3,1,0.3,0,141.735172986984,143.551059961319,0,1,0.349349021911621,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,349.349021911621,17221736,141.74,17223552,143.55,17222496,142.5,17222806,142.8,17223098,143.1,17223098,143.1,17223098,143.1,17223457,143.46,NA,NA,NA,NA,NA,NA,1816,1.81,1003.31491712707,NA,NA,NA,0.180875778750004,0.230709112697337,0.246431036819659,0.195656383833189,0.291271423929484,0.231674299103581,17222718,17222820,104,0.982,1.084,0.102,1,0,1.72,1,NA
0,1,1,11,"a","eb4",0.698,1,0.3,1,0.3,0.0634788781986739,87.3237881660461,89.0233991146088,0.289895057678223,1,0.26999306678772,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,269.99306678772,11200770,87.32,11202469,89.02,11201455,88.01,11201767,88.32,11202055,88.61,11202055,88.61,11202055,88.61,11202336,88.89,11201815,88.37,11201745,88.3,11201745,88.3,1699,1.7,999.411764705881,NA,NA,NA,0.0701505757307351,-0.0949629005793608,0.153014150744443,0.00197786510959958,0.159158969167827,-0.0828927002531963,11201750,11201812,64,0.98,1.042,0.0620000000000001,1,0,1.57000000000001,0,NA
0,1,1,11,"v","eb4",0.568,0,0.3,1,0.3,0,144.288578033447,145.855059146881,0,1,0.340181112289429,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,340.181112289429,17224289,144.29,17225856,145.86,17224846,144.85,17225157,145.16,17225446,145.45,17225446,145.45,17225446,145.45,17225797,145.8,NA,NA,NA,NA,NA,NA,1567,1.57000000000002,998.089171974509,NA,NA,NA,0.0824602684655829,0.164899572331015,0.0229648523434361,0.120309096839316,-0.00172086549411617,-0.0688229844333812,17225100,17225190,92,0.811,0.901,0.09,1,0,1.51000000000002,1,NA
0,1,1,12,"a","eb4",0.81,0,0.5,1,0.3,0.117817506312377,89.7590229511261,91.7835991382599,0.52020788192749,1,0.280169010162354,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,280.169010162354,11203205,89.76,11205229,91.78,11204015,90.57,11204525,91.08,11204815,91.37,11204815,91.37,11204815,91.37,11205106,91.66,11204656,91.21,11204535,91.09,11204535,91.09,2024,2.02,1001.9801980198,NA,NA,NA,0.138588721582521,0.164030003027211,0.184654718604929,0.160487578556666,0.197611557374546,0.186779731567662,11204540,11204654,116,1.335,1.449,0.114,1,0,1.89999999999999,0,NA
0,1,1,13,"a","eb4",0.695,1,0.3,1,0.3,0.0639728591714183,92.5248680114746,94.2316989898682,0.39020299911499,1,0.279798030853271,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,279.798030853271,11205971,92.52,11207677,94.23,11206655,93.21,11206965,93.52,11207255,93.81,11207255,93.81,11207255,93.81,11207546,94.1,11207115,93.67,11207045,93.6,11207045,93.6,1706,1.71000000000001,997.660818713446,NA,NA,NA,-0.182580454679658,-0.0966074113745443,-0.0483010054968932,-0.0905038634088733,-0.0459362878348247,-0.166201085598783,11207050,11207114,66,1.079,1.143,0.0640000000000001,1,0,1.58,0,NA
0,1,1,13,"v","eb4",0.762,0,0.3,1,0.3,0,149.306509017944,151.055315971375,0,1,0.269854784011841,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,269.854784011841,17229307,149.31,17231056,151.06,17230066,150.07,17230377,150.38,17230667,150.67,17230667,150.67,17230667,150.67,17230947,150.95,NA,NA,NA,NA,NA,NA,1749,1.75,999.428571428571,NA,NA,NA,0.141837626337184,0.0374103515676098,0.275004854278548,0.132549187888657,0.304757686954321,0.442815120996402,17230276,17230428,154,0.969,1.121,0.152,1,0,1.63999999999999,1,NA
0,1,1,14,"a","eb4",0.78,1,0.4,0,0.3,0.0650128408317549,94.9699859619141,96.9359340667725,0.600050210952759,1,0.369703054428101,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,369.703054428101,11208416,94.97,11210381,96.94,11209195,95.75,11209605,96.16,11209895,96.45,11209895,96.45,11209895,96.45,11210275,96.83,11209865,96.42,11209795,96.35,11209795,96.35,1965,1.97,997.461928934011,NA,NA,NA,0.0634189548272808,-0.0246642769817491,0.2477799732007,-0.0246642769817491,0.239149689991143,0.171465815465348,11209800,11209862,64,1.384,1.446,0.0619999999999998,1,0,1.86,0,NA
0,1,1,14,"v","eb4",0.68,1,0.5,1,0.3,0,151.7885389328,153.655100107193,0,1,0.320037126541138,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,320.037126541138,17231789,151.79,17233656,153.66,17232466,152.46,17232977,152.98,17233266,153.27,17233266,153.27,17233266,153.27,17233597,153.6,NA,NA,NA,NA,NA,NA,1867,1.87,998.395721925131,NA,NA,NA,0.417341409369753,0.438517455178522,0.438684920527259,0.443318404082957,0.430702060462911,0.464453335776753,17232750,17232856,108,0.961,1.067,0.106,1,0,1.81,1,NA
0,1,1,15,"a","eb4",0.752,0,0.3,1,0.3,0.0982229556269294,97.6725549697876,99.4321191310883,0.429908990859985,1,0.300019979476929,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,300.019979476929,11211118,97.67,11212877,99.43,11211865,98.42,11212175,98.73,11212465,99.02,11212465,99.02,11212465,99.02,11212776,99.33,11212395,98.95,11212295,98.85,11212295,98.85,1759,1.76000000000001,999.431818181815,NA,NA,NA,0.0400354295837024,-0.0242809516779844,0.150865188118353,-0.0242809516779844,0.15070906787813,0.0620017714791852,11212300,11212394,96,1.182,1.276,0.0940000000000001,1,0,1.66,0,NA
0,1,1,15,"v","eb4",0.658,0,0.4,1,0.3,0,154.389784097672,156.087198019028,0,1,0.269734144210815,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,269.734144210815,17234390,154.39,17236088,156.09,17235036,155.04,17235446,155.45,17235737,155.74,17235737,155.74,17235737,155.74,17236017,156.02,NA,NA,NA,NA,NA,NA,1698,1.70000000000002,998.823529411755,NA,NA,NA,0.241356583252066,0.139438213086145,-0.0270272272329473,0.0969515795689401,-0.119469399805981,0.101396094310178,17235290,17235384,96,0.9,0.994,0.094,1,0,1.63000000000002,1,NA
0,1,1,16,"a","eb4",0.717,0,0.3,0,0.3,0.0859772862648968,100.166409015656,101.864254951477,0.379945039749146,1,0.33012580871582,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,330.12580871582,11213612,100.17,11215309,101.86,11214315,100.87,11214625,101.18,11214915,101.47,11214915,101.47,11214915,101.47,11215256,101.81,11214785,101.34,11214695,101.25,11214695,101.25,1697,1.69,1004.14201183432,NA,NA,NA,-0.0742545025095956,-0.0604813402424557,0.0587822490070667,-0.0672740309587076,0.0869587870577815,-0.0297517658013669,11214700,11214782,84,1.088,1.17,0.0819999999999999,1,0,1.64,0,NA
0,1,1,16,"v","eb4",0.672,0,0.5,1,0.3,0,156.825482130051,158.727199077606,0,1,0.350083112716675,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,350.083112716675,17236826,156.83,17238728,158.73,17237496,157.5,17238006,158.01,17238297,158.3,17238297,158.3,17238297,158.3,17238657,158.66,NA,NA,NA,NA,NA,NA,1902,1.89999999999998,1001.05263157896,NA,NA,NA,0.135783581310596,0.0798051372896369,0.0717927848131569,0.0984189039227066,0.0333464554013713,-0.151334936100215,17237748,17237842,96,0.922,1.016,0.094,1,0,1.82999999999998,1,NA
0,1,1,17,"a","eb4",0.735,1,0.5,0,0.3,0.0708282490331864,102.600594997406,104.504513025284,0.520136117935181,1,0.28999400138855,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,289.99400138855,11216046,102.6,11217949,104.5,11216775,103.33,11217285,103.84,11217585,104.14,11217585,104.14,11217585,104.14,11217886,104.44,11217375,103.93,11217295,103.85,11217295,103.85,1903,1.90000000000001,1001.57894736842,NA,NA,NA,-0.127192205491586,-0.198500346945818,-0.0855673202720603,-0.198599273015919,-0.034169865170751,0.0535253388192046,11217300,11217374,76,1.254,1.328,0.0740000000000001,1,0,1.84,0,NA
0,1,1,17,"v","eb4",0.949,0,0.4,1,0.3,0,159.46474814415,161.479221105576,0,1,0.269987106323242,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,269.987106323242,17239465,159.46,17241480,161.48,17240417,160.42,17240826,160.83,17241117,161.12,17241117,161.12,17241117,161.12,17241397,161.4,NA,NA,NA,NA,NA,NA,2015,2.01999999999998,997.524752475256,NA,NA,NA,0.0092116917626217,-0.0256208378440442,0.279841416660402,0.0665841045146001,0.420114724366274,0.442797784930905,17240648,17240780,134,1.183,1.315,0.132,1,0,1.94,1,NA
0,1,1,18,"a","eb4",0.501,0,0.4,1,0.3,0.0937406852885936,105.242079973221,106.872663021088,0.380136013031006,1,0.35022497177124,"2020-10-21",1445,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,350.22497177124,11218687,105.24,11220317,106.87,11219185,105.74,11219598,106.15,11219885,106.44,11219885,106.44,11219885,106.44,11220246,106.8,11219665,106.22,11219565,106.12,11219565,106.12,1630,1.63000000000001,999.999999999994,NA,NA,NA,-0.162621789193977,-0.107349517086288,0.130199070554622,-0.0544429702536057,0.157021946658793,-0.0096166012906491,11219570,11219662,94,0.883,0.975,0.092,1,0,1.56,0,NA
0,1,1,18,"v","eb4",0.588,1,0.4,1,0.3,0,162.195274114609,163.91140294075,0,1,0.319978952407837,"2020-10-14",1533,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,319.978952407837,17242196,162.2,17243912,163.91,17242776,162.78,17243186,163.19,17243476,163.48,17243476,163.48,17243476,163.48,17243807,163.81,NA,NA,NA,NA,NA,NA,1716,1.71000000000001,1003.50877192982,NA,NA,NA,0.359306081183849,0.417096510880703,0.270488357778745,0.413049896663714,0.213633232233764,0.288092480297972,17243168,17243260,94,0.972,1.064,0.0920000000000001,1,0,1.61000000000001,1,NA
